,File,Analysis,Decoded State (Start),Decoded State (Stop),Transition Direction,Change Point Time (s),Counts (Mean),Counts (Variance),Counts (Sum),Counts (Min),Counts (Max),Duration (Number of Bins),Duration (us),Coefficient of Dispersion,Sample Size Error (%),Number of Bead States,Input Bead Arrival Rate (/s),Input Probability Stay Background,Input Bead Transit Time (us),Input Probability Stay Bead,Bin Width (s),Input lambda0 (/s),Input lambda1 (/s),h_i,h_d
0,med,HMMViterbi,1,3,1.0,0.003205,1.1666666666666667,0.5000000000000001,21.0,0.0,2.0,18.0,18.0,0.42857142857142866,23.57022603955158,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
1,med,HMMViterbi,0,0,-1.0,0.0032229999999999997,0.24017467248908297,0.24252980717334768,385.0,0.0,3.0,1603.0,1602.9999999999998,1.0098059244126658,2.497659540757031,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
2,med,HMMViterbi,1,3,1.0,0.0048259999999999996,2.142857142857143,1.6703296703296704,30.0,0.0,4.0,14.0,14.0,0.7794871794871795,26.72612419124244,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
3,med,HMMViterbi,0,0,-1.0,0.00484,0.2777777777777778,0.243978243978244,40.0,0.0,2.0,144.0,144.0,0.8783216783216784,8.333333333333332,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
4,med,HMMViterbi,1,3,1.0,0.004984,2.0,0.75,18.0,1.0,3.0,9.0,9.0,0.375,33.33333333333333,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
5,med,HMMViterbi,0,0,-1.0,0.004993,0.24046541693600518,0.23580004197917592,372.0,0.0,4.0,1547.0,1547.0,0.9805985616714654,2.5424641809046076,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
6,med,HMMViterbi,1,3,1.0,0.00654,1.7777777777777777,1.6944444444444444,16.0,0.0,4.0,9.0,9.0,0.953125,33.33333333333333,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
7,med,HMMViterbi,0,0,-1.0,0.006549,0.22093329818085947,0.2286017658556012,838.0,0.0,4.0,3793.0,3793.0,1.03470942469009,1.6237104234287183,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
8,med,HMMViterbi,1,3,1.0,0.010341999999999999,6.6,23.726315789473684,132.0,1.0,16.0,20.0,20.0,3.594896331738437,22.360679774997898,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
9,med,HMMViterbi,0,0,-1.0,0.010362,0.24296020479404234,0.24635697071578672,1044.0,0.0,4.0,4297.0,4297.0,1.0139807501587506,1.5255179536022698,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
10,med,HMMViterbi,1,3,1.0,0.014659,2.0,3.0,34.0,0.0,7.0,17.0,17.0,1.5,24.253562503633297,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
11,med,HMMViterbi,0,0,-1.0,0.014676,0.2474747474747475,0.2582423216940984,49.0,0.0,2.0,198.0,198.0,1.0435097897026833,7.106690545187014,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
12,med,HMMViterbi,1,3,1.0,0.014874,3.6666666666666665,8.433333333333334,77.0,1.0,11.0,21.0,21.0,2.3000000000000003,21.821789023599237,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
13,med,HMMViterbi,0,0,-1.0,0.014894999999999999,0.24521444148291738,0.2502951618125016,2024.0,0.0,4.0,8254.0,8254.0,1.020719498814421,1.1006969618351228,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
14,med,HMMViterbi,1,3,1.0,0.023149,1.5454545454545454,1.4727272727272727,17.0,0.0,3.0,11.0,11.0,0.9529411764705882,30.15113445777636,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
15,med,HMMViterbi,0,0,-1.0,0.02316,0.23635477582846004,0.24298777850960346,485.0,0.0,3.0,2052.0,2052.0,1.0280637556736212,2.20755392844174,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
16,med,HMMViterbi,1,3,1.0,0.025212,2.533333333333333,1.2666666666666664,38.0,1.0,5.0,15.0,14.999999999999998,0.4999999999999999,25.819888974716115,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
17,med,HMMViterbi,0,0,-1.0,0.025227,0.11764705882352941,0.10695187165775401,4.0,0.0,1.0,34.0,34.0,0.9090909090909091,17.149858514250884,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
18,med,HMMViterbi,1,3,1.0,0.025261,1.1944444444444444,1.7039682539682537,43.0,0.0,5.0,36.0,36.0,1.4265780730897009,16.666666666666664,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
19,med,HMMViterbi,0,0,-1.0,0.025297,0.25316455696202533,0.26127672742812513,1740.0,0.0,3.0,6873.0,6873.0,1.0320430733410941,1.2062208413771334,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
20,med,HMMViterbi,1,3,1.0,0.03217,2.35,3.8184210526315803,47.0,0.0,9.0,20.0,20.0,1.6248600223964171,22.360679774997898,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
21,med,HMMViterbi,0,0,-1.0,0.032189999999999996,0.25405405405405407,0.28062478062478063,235.0,0.0,4.0,925.0,924.9999999999999,1.104586902459243,3.2879797461071463,3.0,0.1,0.999999900000005,12.0,0.8,1e-06,1000000.0,3000000.0,,
